section_id,title,description,url,type,pages,difficulty  
3.2.2.2,3.2.2.2 Collisions of electrons with atoms,A-Level Physics Online (Excitation & Ionisation),https://www.alevelphysicsonline.com/aqa/quantum-physics/excitation-ionisation,,,
3.2.2.1,3.2.2.1 The photoelectric effect,A-Level Physics Online (The Photoelectric Effect),https://www.alevelphysicsonline.com/aqa/quantum-physics/the-photoelectric-effect,,,
3.2.2.4,3.2.2.4 Wave-particle duality,A-Level Physics Online (Wave-Particle Duality),https://www.alevelphysicsonline.com/aqa/quantum-physics/wave-particle-duality,,,
3.3.2.2,3.3.2.2 Diffraction,A-Level Physics Online (Diffraction),https://www.alevelphysicsonline.com/aqa/waves/diffraction,,,
3.3.2.1,3.3.2.1 Interference,A-Level Physics Online (Interference),https://www.alevelphysicsonline.com/aqa/waves/interference,,,
3.3.1.2,3.3.1.2 Longitudinal and transverse waves,A-Level Physics Online (Longitudinal & Transverse Waves),https://www.alevelphysicsonline.com/aqa/waves/longitudinal-transverse-waves,,,
3.3.1.1,3.3.1.1 Progressive waves,A-Level Physics Online (Progressive Waves),https://www.alevelphysicsonline.com/aqa/waves/progressive-waves,,,
3.3.2.3,3.3.2.3 Refraction at a plane surface,A-Level Physics Online (Refraction),https://www.alevelphysicsonline.com/aqa/waves/refraction,,,
3.3.1.3,3.3.1.3 Principle of superposition of waves and formation of stationary waves,A-Level Physics Online (Stationary Waves),https://www.alevelphysicsonline.com/aqa/waves/stationary-waves,,,
3.5.1.1,3.5.1.1 Basics of electricity,Physics & Maths Tutor (Basics of Electricity),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/electricity/basics-of-electricity/,,,
3.5.1.4,3.5.1.4 Circuits,Physics & Maths Tutor (Circuits),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/electricity/circuits/,,,
3.5.1.2,3.5.1.2 Current-voltage characteristics,Physics & Maths Tutor (Current-Voltage Characteristics),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/electricity/current-voltage-characteristics/,,,
3.5.1.6,3.5.1.6 Electromotive force and internal resistance,Physics & Maths Tutor (EMF & Internal Resistance),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/electricity/emf-and-internal-resistance/,,,
3.5.1.5,3.5.1.5 Potential divider,Physics & Maths Tutor (Potential Divider),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/electricity/potential-divider/,,,
3.5.1.3,3.5.1.3 Resistivity,Physics & Maths Tutor (Resistivity),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/electricity/resistivity/,,,
3.4.2.1,3.4.2.1 Bulk properties of solids,Physics & Maths Tutor (Bulk Properties of Solids),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/materials/bulk-properties-of-solids/,,,
3.4.2.2,3.4.2.2 The Young modulus,Physics & Maths Tutor (The Young Modulus),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/materials/the-young-modulus/,,,
3.4.1.8,3.4.1.8 Conservation of energy,Physics & Maths Tutor (Conservation of Energy),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/conservation-of-energy/,,,
3.4.1.2,3.4.1.2 Moments,Physics & Maths Tutor (Moments),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/moments/,,,
3.4.1.6,3.4.1.6 Momentum,Physics & Maths Tutor (Momentum),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/momentum/,,,
3.4.1.3,3.4.1.3 Motion along a straight line,Physics & Maths Tutor (Motion Along a Straight Line),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/motion-along-a-straight-line/,,,
3.4.1.5,3.4.1.5 Newton's laws of motion,Physics & Maths Tutor (Newton's Laws of Motion),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/newtons-laws-of-motion/,,,
3.4.1.4,3.4.1.4 Projectile motion,Physics & Maths Tutor (Projectile Motion),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/projectile-motion/,,,
3.4.1.1,3.4.1.1 Scalars and vectors,Physics & Maths Tutor (Scalars & Vectors),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/scalars-and-vectors/,,,
3.4.1.7,"3.4.1.7 Work, energy and power","Physics & Maths Tutor (Work, Energy & Power)",https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/mechanics-and-materials/work-energy-and-power/,,,
3.2.1.7,3.2.1.7 Applications of conservation laws,Physics & Maths Tutor (Applications of conservation laws),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/applications-of-conservation-laws/,,,
3.2.1.5,3.2.1.5 Classification of particles,Physics & Maths Tutor (Classification of particles),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/classification-of-particles/,,,
3.2.1.1,3.2.1.1 Constituents of the atom,Physics & Maths Tutor (Constituents of the atom),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/constituents-of-the-atom/,,,
3.2.1.4,3.2.1.4 Particle interactions,Physics & Maths Tutor (Particle interactions),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/particle-interactions/,,,
3.2.1.3,"3.2.1.3 Particles, antiparticles and photons","Physics & Maths Tutor (Particles, antiparticles and photons)",https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/particles-antiparticles-photons/,,,
3.2.1.6,3.2.1.6 Quarks and antiquarks,Physics & Maths Tutor (Quarks and antiquarks),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/quarks-and-antiquarks/,,,
3.2.1.2,3.2.1.2 Stable and unstable nuclei,Physics & Maths Tutor (Stable and unstable nuclei),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/particles-and-radiation/stable-unstable-nuclei/,,,
3.2.2.2,3.2.2.2 Collisions of electrons with atoms,Physics & Maths Tutor (Collisions of electrons with atoms),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/quantum-physics/collisions-of-electrons-with-atoms/,,,
3.2.2.3,3.2.2.3 Energy levels and photon emission,Physics & Maths Tutor (Energy levels and photon emission),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/quantum-physics/energy-levels-and-photon-emission/,,,
3.2.2.1,3.2.2.1 The photoelectric effect,Physics & Maths Tutor (The photoelectric effect),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/quantum-physics/photoelectric-effect/,,,
3.2.2.4,3.2.2.4 Wave-particle duality,Physics & Maths Tutor (Wave-particle duality),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/quantum-physics/wave-particle-duality/,,,
3.3.2.2,3.3.2.2 Diffraction,Physics & Maths Tutor (Diffraction),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/waves/diffraction/,,,
3.3.2.1,3.3.2.1 Interference,Physics & Maths Tutor (Interference),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/waves/interference/,,,
3.3.1.2,3.3.1.2 Longitudinal and transverse waves,Physics & Maths Tutor (Longitudinal & Transverse Waves),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/waves/longitudinal-and-transverse-waves/,,,
3.3.1.1,3.3.1.1 Progressive waves,Physics & Maths Tutor (Progressive Waves),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/waves/progressive-waves/,,,
3.3.2.3,3.3.2.3 Refraction at a plane surface,Physics & Maths Tutor (Refraction),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/waves/refraction/,,,
3.3.1.3,3.3.1.3 Principle of superposition of waves and formation of stationary waves,Physics & Maths Tutor (Stationary Waves),https://www.physicsandmathstutor.com/physics-revision/a-level-aqa/waves/stationary-waves/,,,
3.5.1.1,3.5.1.1 Basics of electricity,Revisely (Electric Current),https://www.revisely.com/alevel/physics/aqa/notes/electricity/electric_current/,,,
3.5.1.6,3.5.1.6 Electromotive force and internal resistance,Revisely (EMF and Internal Resistance),https://www.revisely.com/alevel/physics/aqa/notes/electricity/emf_and_internal_resistance/,,,
3.5.1.2,3.5.1.2 Current-voltage characteristics,Revisely (I-V Characteristics),https://www.revisely.com/alevel/physics/aqa/notes/electricity/i_v_characteristics/,,,
3.5.1.5,3.5.1.5 Potential divider,Revisely (Potential Dividers),https://www.revisely.com/alevel/physics/aqa/notes/electricity/potential_dividers/,,,
3.5.1.3,3.5.1.3 Resistivity,Revisely (Resistivity),https://www.revisely.com/alevel/physics/aqa/notes/electricity/resistivity/,,,
3.4.2.2,3.4.2.2 The Young modulus,Revisely (The Young Modulus),https://www.revisely.com/alevel/physics/aqa/notes/materials/the_young_modulus/,,,
3.4.1.2,3.4.1.2 Moments,Revisely (Moments),https://www.revisely.com/alevel/physics/aqa/notes/mechanics/moments/,,,
3.4.1.6,3.4.1.6 Momentum,Revisely (Momentum),https://www.revisely.com/alevel/physics/aqa/notes/mechanics/momentum/,,,
3.4.1.4,3.4.1.4 Projectile motion,Revisely (Projectile Motion),https://www.revisely.com/alevel/physics/aqa/notes/mechanics/projectile_motion/,,,
3.4.1.1,3.4.1.1 Scalars and vectors,Revisely (Scalars & Vectors),https://www.revisely.com/alevel/physics/aqa/notes/mechanics/scalars_vectors/,,,
3.4.1.7,"3.4.1.7 Work, energy and power","Revisely (Work, Energy & Power)",https://www.revisely.com/alevel/physics/aqa/notes/mechanics/work__energy___power/,,,
3.3.2.2,3.3.2.2 Diffraction,Revisely (Diffraction),https://www.revisely.com/alevel/physics/aqa/notes/waves/diffraction/,,,
3.3.1.1,3.3.1.1 Progressive waves,Revisely (Progressive Waves),https://www.revisely.com/alevel/physics/aqa/notes/waves/progressive_waves/,,,
3.3.2.3,3.3.2.3 Refraction at a plane surface,Revisely (Refraction),https://www.revisely.com/alevel/physics/aqa/notes/waves/refraction/,,,
3.3.2.1,3.3.2.1 Interference,Revisely (Young's Slit Experiment),https://www.revisely.com/alevel/physics/aqa/notes/waves/young_s_slit_experiment/,,,
3.2.1.1,3.2.1.1 Constituents of the atom,Save My Exams (The Atom),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-1-the-atom/,,,
3.2.1.1,3.2.1.1 Constituents of the atom,Save My Exams (Specific Charge),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-2-specific-charge/,,,
3.2.1.2,3.2.1.2 Stable and unstable nuclei,Save My Exams (The Strong Nuclear Force),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-3-the-strong-nuclear-force/,,,
3.2.1.2,3.2.1.2 Stable and unstable nuclei,"Save My Exams (Alpha, Beta & Gamma Decay)",https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-4-alpha-beta--gamma-decay/,,,
3.2.1.3,"3.2.1.3 Particles, antiparticles and photons",Save My Exams (Antimatter),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-5-antimatter/,,,
3.2.1.4,3.2.1.4 Particle interactions,Save My Exams (Particle Interactions),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-6-particle-interactions/,,,
3.2.1.5,3.2.1.5 Classification of particles,Save My Exams (Classification of Particles),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-7-classification-of-particles/,,,
3.2.1.6,3.2.1.6 Quarks and antiquarks,Save My Exams (Quarks & Antiquarks),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-8-quarks--antiquarks/,,,
3.2.1.7,3.2.1.7 Applications of conservation laws,Save My Exams (Conservation Laws),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-2-particles/3-2-9-conservation-laws/,,,
3.2.2.1,3.2.2.1 The photoelectric effect,Save My Exams (The Photoelectric Effect),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-3-em-radiation--quantum-phenomena/3-3-1-the-photoelectric-effect/,,,
3.2.2.3,3.2.2.3 Energy levels and photon emission,Save My Exams (Energy Levels & Photon Emission),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-3-em-radiation--quantum-phenomena/3-3-2-energy-levels--photon-emission/,,,
3.2.2.2,3.2.2.2 Collisions of electrons with atoms,Save My Exams (Electron-Atom Collisions),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-3-em-radiation--quantum-phenomena/3-3-3-electron-atom-collisions/,,,
3.2.2.4,3.2.2.4 Wave-particle duality,Save My Exams (Wave-Particle Duality),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/3-particles--radiation/3-3-em-radiation--quantum-phenomena/3-3-4-wave-particle-duality/,,,
3.3.1.1,3.3.1.1 Progressive waves,Save My Exams (Progressive Waves),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-1-progressive--stationary-waves/4-1-1-progressive-waves/,,,
3.3.1.2,3.3.1.2 Longitudinal and transverse waves,Save My Exams (Transverse & Longitudinal Waves),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-1-progressive--stationary-waves/4-1-2-transverse--longitudinal-waves/,,,
3.3.1.2,3.3.1.2 Longitudinal and transverse waves,Save My Exams (Polarisation),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-1-progressive--stationary-waves/4-1-3-polarisation/,,,
3.3.1.3,3.3.1.3 Principle of superposition of waves and formation of stationary waves,Save My Exams (Stationary Waves),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-1-progressive--stationary-waves/4-1-4-stationary-waves/,,,
3.3.2.3,3.3.2.3 Refraction at a plane surface,Save My Exams (Refraction),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-2-refraction-diffraction--interference/4-2-1-refraction/,,,
3.3.1.3,3.3.1.3 Principle of superposition of waves and formation of stationary waves,Save My Exams (The Principle of Superposition),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-2-refraction-diffraction--interference/4-2-2-the-principle-of-superposition/,,,
3.3.2.1,3.3.2.1 Interference,Save My Exams (Interference),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-2-refraction-diffraction--interference/4-2-3-interference/,,,
3.3.2.2,3.3.2.2 Diffraction,Save My Exams (Diffraction),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/4-waves/4-2-refraction-diffraction--interference/4-2-4-diffraction/,,,
3.4.1.1,3.4.1.1 Scalars and vectors,Save My Exams (Scalars & Vectors),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-1-scalars--vectors/,,,
3.4.1.2,3.4.1.2 Moments,Save My Exams (Moments),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-2-moments/,,,
3.4.1.3,3.4.1.3 Motion along a straight line,Save My Exams (Motion Along a Straight Line),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-3-motion-along-a-straight-line/,,,
3.4.1.4,3.4.1.4 Projectile motion,Save My Exams (Projectile Motion),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-4-projectile-motion/,,,
3.4.1.5,3.4.1.5 Newton's laws of motion,Save My Exams (Newton's Laws of Motion),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-5-newtons-laws-of-motion/,,,
3.4.1.6,3.4.1.6 Momentum,Save My Exams (Momentum),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-6-momentum/,,,
3.4.1.7,"3.4.1.7 Work, energy and power","Save My Exams (Work, Energy & Power)",https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-7-work-energy--power/,,,
3.4.1.8,3.4.1.8 Conservation of energy,Save My Exams (Conservation of Energy),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-1-force-energy--momentum/5-1-8-conservation-of-energy/,,,
3.4.2.1,3.4.2.1 Bulk properties of solids,"Save My Exams (Solids, Liquids & Gases)",https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-2-materials/5-2-1-solids-liquids--gases/,,,
3.4.2.1,3.4.2.1 Bulk properties of solids,Save My Exams (Stress & Strain),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-2-materials/5-2-3-stress--strain/,,,
3.4.2.2,3.4.2.2 The Young modulus,Save My Exams (The Young Modulus),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/5-mechanics--materials/5-2-materials/5-2-4-the-young-modulus/,,,
3.5.1.1,3.5.1.1 Basics of electricity,"Save My Exams (Current, Potential Difference & Resistance)",https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/6-electricity/6-1-current-electricity/6-1-1-current-potential-difference--resistance/,,,
3.5.1.2,3.5.1.2 Current-voltage characteristics,Save My Exams (I-V Characteristics),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/6-electricity/6-1-current-electricity/6-1-2-i-v-characteristics/,,,
3.5.1.3,3.5.1.3 Resistivity,Save My Exams (Resistivity),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/6-electricity/6-1-current-electricity/6-1-3-resistivity/,,,
3.5.1.4,3.5.1.4 Circuits,Save My Exams (Series & Parallel Circuits),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/6-electricity/6-1-current-electricity/6-1-4-series--parallel-circuits/,,,
3.5.1.5,3.5.1.5 Potential divider,Save My Exams (The Potential Divider),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/6-electricity/6-1-current-electricity/6-1-5-the-potential-divider/,,,
3.5.1.6,3.5.1.6 Electromotive force and internal resistance,Save My Exams (EMF & Internal Resistance),https://www.savemyexams.com/a-level/physics/aqa/17/revision-notes/6-electricity/6-1-current-electricity/6-1-6-emf--internal-resistance/,,,
